x-axis,F1
Hertz,dBV
+88.0000E+00,-89.28088E+00
+88.5000E+00,-92.57048E+00
+89.0000E+00,-90.33170E+00
+89.5000E+00,-93.66728E+00
+90.0000E+00,-103.24648E+00
+90.5000E+00,-96.49046E+00
+91.0000E+00,-93.02885E+00
+91.5000E+00,-95.38725E+00
+92.0000E+00,-93.37461E+00
+92.5000E+00,-91.51431E+00
+93.0000E+00,-90.79751E+00
+93.5000E+00,-90.53514E+00
+94.0000E+00,-91.25904E+00
+94.5000E+00,-93.92624E+00
+95.0000E+00,-93.73313E+00
+95.5000E+00,-93.47326E+00
+96.0000E+00,-95.12286E+00
+96.5000E+00,-94.11113E+00
+97.0000E+00,-93.41881E+00
+97.5000E+00,-97.36441E+00
+98.0000E+00,-99.49281E+00
+98.5000E+00,-100.48516E+00
+99.0000E+00,-99.86916E+00
+99.5000E+00,-98.29293E+00
+100.0000E+00,-96.27903E+00
+100.5000E+00,-95.17663E+00
+101.0000E+00,-98.19670E+00
+101.5000E+00,-103.37302E+00
+102.0000E+00,-95.89782E+00
+102.5000E+00,-92.93079E+00
+103.0000E+00,-93.92041E+00
+103.5000E+00,-94.03561E+00
+104.0000E+00,-94.00628E+00
+104.5000E+00,-93.82068E+00
+105.0000E+00,-97.85819E+00
+105.5000E+00,-97.46788E+00
+106.0000E+00,-90.90948E+00
+106.5000E+00,-91.05949E+00
+107.0000E+00,-91.61123E+00
+107.5000E+00,-91.63363E+00
+108.0000E+00,-89.11234E+00
+108.5000E+00,-87.56899E+00
+109.0000E+00,-88.97859E+00
+109.5000E+00,-87.38916E+00
+110.0000E+00,-86.16151E+00
+110.5000E+00,-87.89591E+00
+111.0000E+00,-87.36610E+00
+111.5000E+00,-87.07759E+00
+112.0000E+00,-90.32079E+00
+112.5000E+00,-89.76882E+00
+113.0000E+00,-88.52250E+00
+113.5000E+00,-91.98970E+00
+114.0000E+00,-91.21962E+00
+114.5000E+00,-89.18092E+00
+115.0000E+00,-95.15212E+00
+115.5000E+00,-95.56532E+00
+116.0000E+00,-92.94100E+00
+116.5000E+00,-101.40180E+00
+117.0000E+00,-102.14041E+00
+117.5000E+00,-96.42340E+00
+118.0000E+00,-98.01060E+00
+118.5000E+00,-97.40185E+00
+119.0000E+00,-94.49625E+00
+119.5000E+00,-93.15747E+00
+120.0000E+00,-92.21190E+00
+120.5000E+00,-91.69510E+00
+121.0000E+00,-91.43924E+00
+121.5000E+00,-92.30050E+00
+122.0000E+00,-94.90370E+00
+122.5000E+00,-92.61465E+00
+123.0000E+00,-91.02071E+00
+123.5000E+00,-92.41591E+00
+124.0000E+00,-89.70971E+00
+124.5000E+00,-87.62633E+00
+125.0000E+00,-89.62153E+00
+125.5000E+00,-88.86782E+00
+126.0000E+00,-88.59470E+00
+126.5000E+00,-92.90350E+00
+127.0000E+00,-91.66623E+00
+127.5000E+00,-89.13078E+00
+128.0000E+00,-91.35638E+00
+128.5000E+00,-89.98418E+00
+129.0000E+00,-87.40683E+00
+129.5000E+00,-89.74923E+00
+130.0000E+00,-89.86129E+00
+130.5000E+00,-88.88490E+00
+131.0000E+00,-92.79850E+00
+131.5000E+00,-95.56264E+00
+132.0000E+00,-97.20214E+00
+132.5000E+00,-91.19094E+00
+133.0000E+00,-88.58526E+00
+133.5000E+00,-89.42526E+00
+134.0000E+00,-87.06266E+00
+134.5000E+00,-86.83163E+00
+135.0000E+00,-89.37403E+00
+135.5000E+00,-88.63736E+00
+136.0000E+00,-91.00045E+00
+136.5000E+00,-98.58285E+00
+137.0000E+00,-97.15947E+00
+137.5000E+00,-96.87501E+00
+138.0000E+00,-101.42861E+00
+138.5000E+00,-98.60762E+00
+139.0000E+00,-97.58519E+00
+139.5000E+00,-105.03799E+00
+140.0000E+00,-101.19467E+00
+140.5000E+00,-98.20255E+00
+141.0000E+00,-109.07615E+00
+141.5000E+00,-106.60902E+00
+142.0000E+00,-99.92908E+00
+142.5000E+00,-98.36428E+00
+143.0000E+00,-97.54363E+00
+143.5000E+00,-96.70416E+00
+144.0000E+00,-93.28976E+00
+144.5000E+00,-93.31046E+00
+145.0000E+00,-95.43154E+00
+145.5000E+00,-96.38034E+00
+146.0000E+00,-97.39243E+00
+146.5000E+00,-98.52638E+00
+147.0000E+00,-101.87838E+00
+147.5000E+00,-100.92381E+00
+148.0000E+00,-95.75421E+00
+148.5000E+00,-104.04832E+00
+149.0000E+00,-105.13716E+00
+149.5000E+00,-97.20756E+00
+150.0000E+00,-98.37272E+00
+150.5000E+00,-97.22952E+00
+151.0000E+00,-91.59592E+00
+151.5000E+00,-91.12707E+00
+152.0000E+00,-90.43665E+00
+152.5000E+00,-87.97745E+00
+153.0000E+00,-87.98299E+00
+153.5000E+00,-88.22015E+00
+154.0000E+00,-87.76575E+00
+154.5000E+00,-89.87715E+00
+155.0000E+00,-91.61363E+00
+155.5000E+00,-89.89523E+00
+156.0000E+00,-91.24183E+00
+156.5000E+00,-92.80055E+00
+157.0000E+00,-90.32695E+00
+157.5000E+00,-91.36398E+00
+158.0000E+00,-93.43838E+00
+158.5000E+00,-91.31998E+00
+159.0000E+00,-92.43960E+00
+159.5000E+00,-95.05262E+00
+160.0000E+00,-92.54062E+00
+160.5000E+00,-98.16357E+00
+161.0000E+00,-109.36273E+00
+161.5000E+00,-104.14513E+00
+162.0000E+00,-98.20757E+00
+162.5000E+00,-91.58837E+00
+163.0000E+00,-91.56921E+00
+163.5000E+00,-90.08253E+00
+164.0000E+00,-86.79133E+00
+164.5000E+00,-87.88677E+00
+165.0000E+00,-88.22934E+00
+165.5000E+00,-87.05814E+00
+166.0000E+00,-89.83153E+00
+166.5000E+00,-91.34863E+00
+167.0000E+00,-89.69263E+00
+167.5000E+00,-92.30179E+00
+168.0000E+00,-93.89530E+00
