x-axis,F1
Hertz,dBV
+18.800E+00,-80.15139E+00
+18.900E+00,-62.65266E+00
+19.000E+00,-35.80150E+00
+19.100E+00,-46.28097E+00
+19.200E+00,-80.26637E+00
+19.300E+00,-79.88242E+00
+19.400E+00,-81.79917E+00
+19.500E+00,-82.31323E+00
+19.600E+00,-93.78262E+00
+19.700E+00,-83.68223E+00
+19.800E+00,-75.85884E+00
+19.900E+00,-67.31622E+00
+20.000E+00,-36.74452E+00
+20.100E+00,-47.11349E+00
+20.200E+00,-76.95560E+00
+20.300E+00,-76.68583E+00
+20.400E+00,-87.14642E+00
+20.500E+00,-83.99001E+00
+20.600E+00,-81.72000E+00
+20.700E+00,-83.74479E+00
+20.800E+00,-79.26526E+00
+20.900E+00,-65.02422E+00
+21.000E+00,-37.24999E+00
+21.100E+00,-47.40981E+00
+21.200E+00,-85.41174E+00
+21.300E+00,-91.11141E+00
+21.400E+00,-82.28470E+00
+21.500E+00,-81.50318E+00
+21.600E+00,-96.70259E+00
+21.700E+00,-88.34948E+00
+21.800E+00,-77.07688E+00
+21.900E+00,-68.80489E+00
+22.000E+00,-37.87817E+00
+22.100E+00,-47.50910E+00
+22.200E+00,-86.36392E+00
+22.300E+00,-90.79996E+00
+22.400E+00,-104.93884E+00
+22.500E+00,-90.07030E+00
+22.600E+00,-88.96013E+00
+22.700E+00,-97.01123E+00
+22.800E+00,-86.36698E+00
+22.900E+00,-67.61920E+00
+23.000E+00,-38.96963E+00
+23.100E+00,-48.33333E+00
+23.200E+00,-83.13711E+00
+23.300E+00,-83.44890E+00
+23.400E+00,-78.62435E+00
+23.500E+00,-88.97831E+00
+23.600E+00,-91.22459E+00
+23.700E+00,-82.54169E+00
+23.800E+00,-89.18748E+00
+23.900E+00,-70.99663E+00
+24.000E+00,-40.05238E+00
+24.100E+00,-49.22535E+00
+24.200E+00,-81.00504E+00
+24.300E+00,-88.96675E+00
+24.400E+00,-76.73550E+00
+24.500E+00,-97.86601E+00
+24.600E+00,-92.87906E+00
+24.700E+00,-83.53396E+00
+24.800E+00,-80.26364E+00
+24.900E+00,-71.64349E+00
+25.000E+00,-40.70317E+00
+25.100E+00,-49.46086E+00
+25.200E+00,-85.24956E+00
+25.300E+00,-91.42360E+00
+25.400E+00,-89.30883E+00
+25.500E+00,-83.44603E+00
+25.600E+00,-82.99706E+00
+25.700E+00,-84.23364E+00
+25.800E+00,-75.83300E+00
+25.900E+00,-72.45859E+00
+26.000E+00,-41.62378E+00
+26.100E+00,-50.32380E+00
+26.200E+00,-82.06168E+00
+26.300E+00,-79.52617E+00
+26.400E+00,-79.67044E+00
+26.500E+00,-81.58700E+00
+26.600E+00,-85.80068E+00
+26.700E+00,-88.17218E+00
+26.800E+00,-84.11346E+00
+26.900E+00,-73.74737E+00
+27.000E+00,-42.62569E+00
+27.100E+00,-50.88449E+00
+27.200E+00,-78.80786E+00
+27.300E+00,-91.71297E+00
+27.400E+00,-87.21006E+00
+27.500E+00,-80.47581E+00
+27.600E+00,-81.62444E+00
+27.700E+00,-83.95815E+00
+27.800E+00,-80.26682E+00
+27.900E+00,-73.75298E+00
+28.000E+00,-43.10416E+00
+28.100E+00,-51.13685E+00
+28.200E+00,-89.70036E+00
+28.300E+00,-83.43685E+00
+28.400E+00,-82.92099E+00
+28.500E+00,-84.19726E+00
+28.600E+00,-85.81113E+00
+28.700E+00,-88.21931E+00
+28.800E+00,-93.07950E+00
+28.900E+00,-91.57017E+00
+29.000E+00,-44.07116E+00
+29.100E+00,-51.82725E+00
+29.200E+00,-80.02958E+00
+29.300E+00,-82.33883E+00
+29.400E+00,-83.03809E+00
+29.500E+00,-82.99778E+00
+29.600E+00,-84.26697E+00
+29.700E+00,-87.96678E+00
+29.800E+00,-82.52041E+00
+29.900E+00,-75.82735E+00
+30.000E+00,-44.51341E+00
+30.100E+00,-51.80048E+00
+30.200E+00,-76.72685E+00
+30.300E+00,-81.51966E+00
+30.400E+00,-81.84245E+00
+30.500E+00,-88.86235E+00
+30.600E+00,-85.14395E+00
+30.700E+00,-90.77789E+00
+30.800E+00,-81.49831E+00
+30.900E+00,-86.81653E+00
+31.000E+00,-44.92766E+00
+31.100E+00,-52.10608E+00
+31.200E+00,-85.06484E+00
+31.300E+00,-83.73759E+00
+31.400E+00,-88.14650E+00
+31.500E+00,-86.56608E+00
+31.600E+00,-87.68679E+00
+31.700E+00,-88.53302E+00
+31.800E+00,-82.28605E+00
+31.900E+00,-74.36001E+00
+32.000E+00,-45.76765E+00
+32.100E+00,-52.87841E+00
+32.200E+00,-82.66762E+00
+32.300E+00,-85.01854E+00
+32.400E+00,-82.43950E+00
